"","GPA_year1","GPA_year2","age","uni_first_choice","control","dad_HS_grad","dad_college_grad","english","female","finish_in_4_yrs","HS_GPA","grad_degree","first_sem_grade","live_home","last_min","mom_HS_grad","mom_college_grad","sfp_offer","sfp_signup","signup","ssp_offer","ssp_signup","work_plans"
"56",3.23000001907349,2.59999990463257,18,0,1,1,1,1,0,1,84,1,77,1,5,1,1,0,0,0,0,0,0
"57",3.84999990463257,3.5699999332428,18,0,1,1,1,1,1,1,80.3000030517578,1,85,1,3,1,1,0,0,0,0,0,0
"58",2.07999992370605,2.40000009536743,18,0,1,0,0,1,1,0,78.3000030517578,0,60,0,2,0,0,0,0,0,0,0,0
"59",2.13000011444092,2.16000008583069,18,1,1,1,0,1,0,1,78,1,72,1,1,1,1,0,0,0,0,0,0
"60",1.22000002861023,2.53999996185303,18,0,0,1,1,1,1,1,85.3000030517578,1,56,1,3,1,1,1,1,1,0,0,0
"61",1.48000001907349,2.47000002861023,18,0,1,0,0,1,1,1,80.6999969482422,1,67,1,4,1,0,0,0,0,0,0,0
"62",3.15000009536743,3.74000000953674,18,0,1,1,1,1,0,1,80.3000030517578,1,68.5,1,1,1,0,0,0,0,0,0,0
"63",2.07999992370605,1.87999999523163,18,1,1,1,0,1,1,1,79.3000030517578,0,68.75,0,4,1,1,0,0,0,0,0,0
"64",2.58999991416931,2.27999997138977,18,0,1,1,0,1,1,1,83.8000030517578,1,74.5,1,4,1,0,0,0,0,0,0,0
"65",0.850000023841858,2.65000009536743,18,1,0,1,0,0,1,1,79.5,1,52,1,4,1,1,1,1,1,0,0,0
"66",1.17999994754791,0,18,1,1,1,0,0,1,1,78.5,0,52,0,2,0,0,0,0,0,0,0,0
"67",1.95000004768372,2.34999990463257,18,1,1,1,1,1,1,1,75.3000030517578,1,73,1,4,1,1,0,0,0,0,0,0
"68",2.85999989509583,2.83999991416931,18,0,1,1,1,1,1,1,82.3000030517578,1,77.5,1,5,1,1,0,0,0,0,0,0
"69",2.08999991416931,2.29999995231628,19,1,1,1,0,1,1,0,86.3000030517578,0,57,1,2,1,1,0,0,0,0,0,0
"70",3.27999997138977,2.61999988555908,19,1,1,1,1,1,0,1,84.3000030517578,1,78.8000030517578,1,4,1,0,0,0,0,0,0,0
"71",3.25,2.60999989509583,19,0,1,1,1,1,0,0,80.8000030517578,1,71.5,0,1,1,0,0,0,0,0,0,0
"72",1.1599999666214,1.5,20,0,1,1,1,0,1,1,82.3000030517578,0,63,1,2,1,0,0,0,0,0,0,0
"73",0.800000011920929,1.20000004768372,19,0,1,1,0,0,1,1,76.5,1,60,1,3,1,0,0,0,0,0,0,0
"74",2.50999999046326,2.54999995231628,18,0,1,1,1,0,1,1,83.1999969482422,1,80,1,3,1,0,0,0,0,0,0,0
"75",0.850000023841858,2,18,0,1,1,0,1,1,0,74,1,51,0,3,1,0,0,0,0,0,0,0
"76",2.4300000667572,1.75,18,0,0,1,1,1,0,1,85.8000030517578,1,80.5,0,4,1,1,1,1,1,0,0,0
"77",1.8400000333786,0.349999994039536,18,0,1,1,0,0,1,1,81.5,1,42,1,2,1,0,0,0,0,0,0,0
